Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
Primera Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,19/06/2013,22/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano Juvenil de Billar a Tres Bandas Individual,Clasificatorio al Mundial,23/06/2013,25/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano de Billar a Tres Bandas por Equipos,Clasificatorio al Mundial,23/06/2013,25/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano de Billar a Tres Bandas Individual,Clasificatorio al Mundial,26/06/2013,29/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
XII Campeonato Panamericano de Billar Pool Bola 9 Individual Femenino,Clasificatorio al Mundial,08/07/2013,15/07/2013,BONAIRE,Bonaire ,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
XV Campeonato Panamericano de Billar Pool Bola 9 Individual Masculino,Clasificatorio al Mundial,08/07/2013,15/07/2013,BONAIRE,Bonaire ,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar a Tres Bandas Individual,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar Pool Bola 9 Individual Femenino,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar Pool Bola 9 Individual Masculino,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
VI Campeonato Nacional de Billar a Carambola Libre Femenino,Campeonato Nacional,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
IV Campeonato Nacional de Billar a Carambola Libre Masculino,Campeonato Nacional,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Segunda Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Copa Mundo de Billar a Tres Bandas Individual,Copa Mundo,03/09/2013,08/09/2013,KOREA,Suwon,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Tercera Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,18/09/2013,22/09/2013,COLOMBIA,Chía, Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Mundial Juvenil de Billar a Tres Bandas Individual,Campeonato Mundial,01/10/2013,07/10/2013,GRECIA,Atenas,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Mundial de Billar a Tres Bandas Individual Mayores,Campeonato Mundial,14/10/2013,20/10/2013,BELGICA,Antwerp,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Parada Ranking Nacional de Billar Pool Bola 9 Individual Femenino,Torneo Abierto,24/10/2013,27/10/2013,COLOMBIA,Sincelejo , Sucre,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Parada Ranking Nacional de Billar Pool Bola 9 Individual Masculino,Torneo Abierto,24/10/2013,27/10/2013,COLOMBIA,Sincelejo , Sucre,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Cuarta Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,07/11/2013,10/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
X Campeonato Nacional de Billar a Tres Bandas por Equipos,Campeonato Nacional,10/11/2013,11/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Bolivarianos Tres Bandas Individual,Juegos Bolivarianos,17/11/2013,20/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Bolivarianos Pool Bola 9 Individual Femenino,Juegos Bolivarianos,17/11/2013,20/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Bolivarianos Pool Bola 9 Individual Masculino,Juegos Bolivarianos,17/11/2013,20/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Copa Mundo de Billar a Tres Bandas Individual,Copa Mundo,01/12/2013,07/12/2013,EGIPTO,Hurghada,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Nacional de Menores,Campeonato Nacional,23/03/2013,27/03/2013,COLOMBIA,Barranquilla , Atlántico,FEDERACION COLOMBIANA DE BOWLING,,,,
Selectivo Nacional de Clubes,Torneo Abierto,10/04/2013,13/04/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Iberoamericano,Campeonato Iberoamericano,23/04/2013,28/04/2013,ARGENTINA,Buenos Aires,,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Mayores Sub 35,Campeonato Nacional,30/04/2013,05/05/2013,COLOMBIA,Pasto , Nariño,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Senior,Campeonato Nacional,09/05/2013,13/05/2013,COLOMBIA,Pereira , Risaralda,FEDERACION COLOMBIANA DE BOWLING,,,,
Selectivo Nacional Juegos Mundiales y Juegos Bolivarianos,Concentración Nacional,14/05/2013,17/05/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
CAMPEONATO CENTROAMERICANO Y DEL CARIBE DE MAYORES RUMBO A VERACRUZ 2014 Y SURAMERICANO DE CLUBES 2013,Campeonato Centroamericano y del Caribe,18/05/2013,23/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Segunda Fuerza,Campeonato Nacional,05/06/2013,10/06/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Sudamericano de Clubes,Campeonato Suramericano,16/06/2013,23/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Panamericano Juvenil,Campeonato Panamericano,06/07/2013,13/07/2013,PUERTO RICO,Ponce,,FEDERACION COLOMBIANA DE BOWLING,,,,
Juegos Mundiales,Juegos Mundiales,27/07/2013,04/08/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
Torneo de Las Americas,Torneo Abierto,28/07/2013,03/08/2013,ESTADOS UNIDOS,Fort Lauderdele,,FEDERACION COLOMBIANA DE BOWLING,,,,
XIII Torneo Internacional de las Flores,Open Internacional,31/07/2013,04/08/2013,COLOMBIA,Medellín, Antioquia,FEDERACION COLOMBIANA DE BOWLING,,,,
XXVII TORNEO ABIERTO INTERNACIONAL CIUDAD DE BOGOTÁ ¨SAUL INSIGNARES MELO¨EBONITE INTERNACIONAL,Torneo Abierto,04/08/2013,11/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Mundial Senior,Campeonato Mundial,10/08/2013,16/08/2013,ESTADOS UNIDOS,Las Vegas,,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Mundial Masculino y Femenino,Campeonato Mundial,18/08/2013,31/08/2013,ESTADOS UNIDOS,Las Vegas,,FEDERACION COLOMBIANA DE BOWLING,,,,
Selectivo Juegos Bolivarianos,Concentración Nacional,05/09/2013,08/09/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Juvenil,Campeonato Nacional,17/09/2013,22/09/2013,COLOMBIA,Medellín, Antioquia,FEDERACION COLOMBIANA DE BOWLING,,,,
Selectivo Nacional Senior,Torneo Abierto,24/09/2013,29/09/2013,COLOMBIA,Medellín, Antioquia,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Super Senior,Campeonato Nacional,09/10/2013,14/10/2013,COLOMBIA,Ibague , Tolima,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Panamericano Senior,Campeonato Panamericano,20/10/2013,26/10/2013,COSTA RICA,San José,,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Centroamericano y del Caribe Juvenil,Campeonato Centroamericano y del Caribe,02/11/2013,09/11/2013,COSTA RICA,San José,,FEDERACION COLOMBIANA DE BOWLING,,,,
Campeonato Nacional Primera categoria,Campeonato Nacional,12/11/2013,17/11/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING,,,,
Juegos Bolivarianos,Juegos Bolivarianos,24/11/2013,29/11/2013,PERU,Lima,,FEDERACION COLOMBIANA DE BOWLING,,,,
Selectivo Nacional Mayores y Juvenil,Torneo Abierto,07/12/2013,15/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING,,,,
TORNEO CORDOVA CARDIN,Torneo Abierto,01/06/2013,06/06/2013,CUBA,La Habana,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
COPA OLIMPICA,Torneo Abierto,05/06/2013,09/06/2013,PUERTO RICO,Caguas,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
COPA ROBERTO BALADO,Campeonato Nacional,11/06/2013,15/06/2013,CUBA,La Habana,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
BATALLLA DE CARABOBO FEMENINO,Torneo Abierto,12/06/2013,24/06/2013,VENEZUELA,Valencia,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
BATALLA DE CARABOBO,Torneo Abierto,19/06/2013,24/06/2013,VENEZUELA,Valencia,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO NACIONAL JUVENIL,Campeonato Nacional,23/06/2013,30/06/2013,COLOMBIA,Dagua , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO NACIONAL ANDINO,Campeonato Nacional,29/06/2013,02/07/2013,COLOMBIA,Villavicencio , Meta,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
XXVII UNIVERSIDAD DE VERANO,Campeonato Norteamericano,05/07/2013,17/07/2013,RUSIA,Kazan,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO NACIONAL JUNIOR,Campeonato Nacional,21/07/2013,27/07/2013,COLOMBIA,Santa Marta , Magdalena,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAPACITACION DE ENTRENADORES,Evento Académico,25/07/2013,28/07/2013,COLOMBIA,Barranquilla , Atlántico,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO CONTINENTAL MASCULINO ELITE,Campeonato Nacional,02/08/2013,08/08/2013,CHILE,Santiago de Chile,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO CONTINENTAL FEMENINO,Campeonato Nacional,08/08/2013,14/08/2013,ESTADOS UNIDOS,New Jersey,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO MUNDIAL JUVENIL,Campeonato Mundial,17/08/2013,26/08/2013,UCRANIA,Kiev,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CONCENTRACION JUVENIL JUEGOS SURAMERICANOS,Concentración Nacional,18/08/2013,18/09/2013,COLOMBIA,Barranquilla , Atlántico,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO SURAMERICANO MASCULINO Y FEMENINO JUVENIL,Campeonato Suramericano,19/08/2013,28/08/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO NACIONAL FEMENINO,Campeonato Nacional,26/08/2013,31/08/2013,COLOMBIA,Toro , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
Juegos Suramericanos de la Juventud,Juegos Suramericanos,18/09/2013,24/09/2013,PERU,Callao,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CINTURON DE ORO JUVENIL/CADETE,Campeonato Nacional,04/10/2013,10/10/2013,ECUADOR,Puerto Viejo,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
COPA PACIFICO,Campeonato Nacional,04/10/2013,10/10/2013,ECUADOR,Guayaquil,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO MUNDIALDE BOXEO MASCULINO,Campeonato Mundial,04/10/2013,20/10/2013,KAZAJISTAN,Almaty,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
COPA LA ROMANA MASCULINO/FEMENINO,Copa Mundo,21/10/2013,26/10/2013,REPÚBLICA DOMINICANA,Romana,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
JUEGOS BOLIVARIANOS MASCULINO/FEMENINO,Juegos Bolivarianos,22/11/2013,29/11/2013,PERU,Chiclayo,,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
CAMPEONATO NACIONAL DE MAYORES,Campeonato Nacional,24/11/2013,30/11/2013,COLOMBIA,Valledupar , Cesar,FEDERACIÓN COLOMBIANA DE BOXEO,,,,
Selectivo Universitario,Clasificatorio al Mundial,03/05/2013,03/05/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
27 Festival Internacional CACBF,Juegos Centroamericanos y del Caribe,17/05/2013,26/05/2013,PANAMA,Panamá,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Campeonato Sudamerican de Bridge,Campeonato Suramericano,25/05/2013,01/06/2013,BRASIL,Rio de Janeiro,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Copa Equipos,Torneo Abierto,01/06/2013,02/06/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Selectivo Nacional,Campeonato Nacional,07/06/2013,08/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
3er Campeonato Open Juvenil Mundial,Copa Mundo,03/08/2013,11/08/2013,ESTADOS UNIDOS,Atlanta,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Regional,Campeonato Nacional,16/08/2013,18/08/2013,COLOMBIA,Barranquilla , Atlántico,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Bermuda Bowl y Venice Cup,Copa Mundo,16/09/2013,29/09/2013,INDONESIA,Bali,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Abierto Almirante Colon,Torneo Abierto,05/10/2013,05/10/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Calificativo Internacional,Campeonato Nacional,12/10/2013,13/10/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Regional Eje Cafetero,Campeonato Nacional,01/11/2013,03/11/2013,COLOMBIA,Pereira , Risaralda,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Open Juvenil,Copa Mundo,06/12/2013,08/12/2013,COLOMBIA,El Rosal , Cundinamarca,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
Nacional De Equipos,Campeonato Nacional,06/12/2013,08/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA,,,,
CONCENTRACION EQUIPO DE CANOTAJE,Concentración Nacional,13/05/2013,15/12/2013,COLOMBIA,Guatavita , Cundinamarca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
III MARATON NACIONAL,Campeonato Nacional,16/05/2013,19/05/2013,COLOMBIA,Guatape , Antioquia,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
COPA COLOMBIA DE CANOTAJE DE VELOCIDAD,Campeonato Nacional,11/07/2013,14/07/2013,COLOMBIA,Barrancabermeja , Santander,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
GRAN PRIX DE CANOTAJE DE VELOCIDAD,Campeonato Nacional,11/07/2013,14/07/2013,COLOMBIA,Yaguara , Huila,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
JUEGOS MUNDIALES,Campeonato Mundial,25/07/2013,04/08/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO MUNDIAL JUVENIL - CANOTAJE DE VELOCIDAD,Campeonato Mundial,01/08/2013,05/08/2013,CANADA,Welland,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
GRAN PRIX DE CANOTAJE DE VELOCIDAD,Campeonato Nacional,08/08/2013,11/08/2013,COLOMBIA,Paipa , Boyacá,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO MUNDIAL SENIOR DE CANOTAJE DE VELOCIDAD,Campeonato Mundial,22/08/2013,26/08/2013,ALEMANIA,Diusburg,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
GRAN PRIX DE CANOTAJE DE VELOCIDAD,Campeonato Nacional,12/09/2013,15/09/2013,COLOMBIA,Calima Darien,Valle del Cauca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO DE REMO Y CANOTAJE,Juegos Suramericanos de la Juventud,18/09/2013,29/09/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
FESTIVAL NAUTICO DEL GUAVIO,Campeonato Nacional,10/10/2013,13/10/2013,COLOMBIA,Gachala , Cundinamarca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO NACIONAL DE SLALOM,Campeonato Nacional,10/10/2013,13/10/2013,COLOMBIA,San Gil , Santander,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO PANAMERICANO DE CANOTAJE DE VELOCIDAD,Campeonato Panamericano,17/10/2013,20/10/2013,PUERTO RICO,Ponce,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO SURAMERICANO DE SLALOM,Campeonato Suramericano,14/11/2013,17/11/2013,CHILE,Pucon,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
JUEGOS BOLIVARIANOS - CANOTAJE Y REMO,Juegos Bolivarianos,16/11/2013,30/11/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO NACIONAL DE CANOTAJE DE VELOCIDAD,Campeonato Nacional,21/11/2013,24/11/2013,COLOMBIA,Guatape , Antioquia,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CAMPEONATO DE REMO Y CANOTAJE,Juegos Suramericanos de Playa,03/12/2013,13/12/2013,VENEZUELA,Vargas,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO,,,,
CIRCUITO DE MANIZALES,Campeonato Nacional,09/01/2013,09/01/2013,COLOMBIA,Manizales , Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CIRCUITO DE TUTA,Campeonato Nacional,19/01/2013,19/01/2013,COLOMBIA,Tuta , Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
I - II VALIDA NACIONAL BMX,Campeonato Nacional,15/02/2013,17/02/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
I VALIDA COPA NACIONAL DH - XC,Campeonato Nacional,16/02/2013,17/02/2013,COLOMBIA,Manizales , Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
PREMIO AUGUSTO TRIANA,Campeonato Nacional,17/02/2013,17/02/2013,COLOMBIA,Fusagasugá, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
VUELTA DE SUCRE,Campeonato Nacional,15/03/2013,17/03/2013,COLOMBIA,Sucre , Santander,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
III - IV VALIDA NACIONAL BMX,Campeonato Nacional,15/03/2013,17/03/2013,COLOMBIA,Chía, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
II VALIDA COPA NACIONAL DH - XC,Campeonato Nacional,16/03/2013,17/03/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
II VALIDA COPA NACIONAL DH - XC,Campeonato Nacional,16/03/2013,17/03/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
VUELTA DEL VALLE,Campeonato Nacional,20/03/2013,24/03/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
15th Gran Premio Miguel Indurain,Grand Prix Internacional,30/03/2013,30/03/2013,ESPAÑA,Navarra,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
53rd Vuelta Ciclistica a La Rioja,Grand Prix Internacional,31/03/2013,31/03/2013,ESPAÑA,La Rioja,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CLASICA DE ANAPOIMA,Campeonato Nacional,03/04/2013,06/04/2013,COLOMBIA,Anapoima , Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
59 th KLASIKA PRIMAVERA DE AMOREBIETA,Grand Prix Internacional,07/04/2013,07/04/2013,ESPAÑA,Aorebieta,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CLASICA DE FUSAGASUGA,Campeonato Nacional,11/04/2013,14/04/2013,COLOMBIA,Fusagasugá, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
PARADA DE PISTA,Campeonato Nacional,12/04/2013,14/04/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CAMPEONATO NACIONAL DE BMX,Campeonato Nacional,12/04/2013,13/04/2013,COLOMBIA,Barrancabermeja , Santander,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
28th Vuelta a Castilla y Leon,Grand Prix Internacional,12/04/2013,14/04/2013,ESPAÑA,Castilla y León,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CAMPEONATOS NACIONALES DE RUTA,Campeonato Nacional,18/04/2013,21/04/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
VUELTA DEL TOLIMA,Campeonato Nacional,24/04/2013,28/04/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
47th Le Tour de Bretagne Cycliste trophee harmonie Mutuelle,Grand Prix Internacional,25/04/2013,01/05/2013,FRANCIA,Bretagne,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
Vuelta a la Comunidad de Madrid,Grand Prix Internacional,04/05/2013,04/05/2013,ESPAÑA,Madrid,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
III VALIDA COPA NACIONAL DH - XC,Campeonato Nacional,04/05/2013,05/05/2013,COLOMBIA,Palmira , Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CLASICA DEL CARMEN DE VIBORAL,Campeonato Nacional,09/05/2013,12/05/2013,COLOMBIA,Carmen De Viboral , Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
Vuelta a Asturias Julio Alvarez Mendo,Grand Prix Internacional,11/05/2013,12/05/2013,ESPAÑA,Asturias,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
Ronde de l¨,Grand Prix Internacional,16/05/2013,19/05/2013,FRANCIA,St. Girons,,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
CLASICA INTERNACIONAL DEL CAFE,Campeonato Nacional,16/05/2013,19/05/2013,COLOMBIA,Pereira , Risaralda,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
PARADA DE PISTA,Campeonato Nacional,17/05/2013,19/05/2013,COLOMBIA,Duitama , Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
VUELTA ANTIOQUIA,Campeonato Nacional,22/05/2013,26/05/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO,,,,
