Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
Campeonato de Automovilismo,05/03/2013,05/05/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato de TC2000,05/05/2013,05/05/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,05/05/2013,05/05/2013,Campeonato Nacional,Bojaca ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Automovilismo,05/25/2013,05/26/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Colombiano de Rally,06/01/2013,06/01/2013,Campeonato Nacional,Pasto ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,06/01/2013,06/01/2013,Campeonato Nacional,Bojaca ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,06/15/2013,06/15/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Mac,06/15/2013,06/16/2013,Campeonato Nacional,Candelaria ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeoanto Nacional de Camper Cross,06/16/2013,06/16/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Piques cuarto de Milla,06/16/2013,06/16/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,06/30/2013,06/30/2013,Campeonato Nacional,Susacon ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Trial,06/30/2013,06/30/2013,Campeonato Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Automovilismo,07/06/2013,07/07/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Colombiano de Rally,07/12/2013,07/13/2013,Campeonato Nacional,Puerto Lopez ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
XXVI Gran Premio Nacional de Tractomulas,07/12/2013,07/14/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato TC2000,07/21/2013,07/21/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Colombia,07/27/2013,07/28/2013,Campeonato Nacional,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Camper Cross,07/28/2013,07/28/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Piques Cuarto de Milla,07/28/2013,07/28/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,08/03/2013,08/03/2013,Campeonato Nacional,Susa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Trial,08/11/2013,08/11/2013,Campeonato Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,08/18/2013,08/18/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeoanto Colombiano de Rally,08/30/2013,09/01/2013,Campeonato Nacional,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Automovilismo,08/31/2013,09/01/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Camper Croos,09/08/2013,09/08/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Piques cuerto de Milla,09/08/2013,09/08/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,09/14/2013,09/14/2013,Campeonato Nacional,Puerto Lopez ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Mac,09/21/2013,09/22/2013,Campeonato Nacional,Candelaria ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Trial,09/22/2013,09/22/2013,Campeonato Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,09/29/2013,09/29/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Colombiano de Rally,10/04/2013,10/06/2013,Campeonato Nacional,Garzon ,COLOMBIA, Huila,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,10/20/2013,10/20/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,10/26/2013,10/26/2013,Campeonato Nacional,Sopo ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Automovilismo,10/26/2013,10/27/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Colombia,10/27/2013,10/27/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Trial,10/27/2013,10/27/2013,Campeonato Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Camper Cross,11/24/2013,11/24/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Piques cuarto de Milla,11/24/2013,11/24/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,11/24/2013,11/24/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,11/30/2013,11/30/2013,Campeonato Nacional,Susa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Mac,11/30/2013,12/01/2013,Campeonato Nacional,Candelaria ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
6 Horas de Bogota,12/07/2013,12/08/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
I Valida Liga Nacional,03/22/2013,03/24/2013,Campeonato Nacional,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
XVIII PERÚ INTERNACIONAL 2013,04/10/2013,04/14/2013,Concentracion Internacional,Lima,PERU,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
III Valida Nacional,04/12/2013,04/14/2013,Campeonato Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN EN JUZGAMIENTO,04/15/2013,04/15/2013,Concentración Nacional,Circasia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAMPAMENTO DE TALENTOS,04/16/2013,04/18/2013,Concentración Nacional,Circasia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
II Valida Nacional,04/17/2013,04/19/2013,Campeonato Nacional,Circasia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
I Valida Liga Nacional,04/19/2013,04/21/2013,Campeonato Nacional,Armenia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ENTRENADORES INTERNACIONAL,04/29/2013,04/29/2013,Concentracion Internacional,Perú,PERU,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ENTRENADORES INTERNACIONAL,04/29/2013,04/29/2013,Concentracion Internacional,Guatemala ,GUATEMALA,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ENTRENADORES INTERNACIONAL,04/29/2013,04/29/2013,Concentracion Internacional,Brasil ,BRASIL,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ENTRENADORES INTERNACIONAL,04/29/2013,04/29/2013,Concentracion Internacional,España ,ESPAÑA,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ORGANIZACIÓN DE CAMPEONATOS TOURNAMENT SOFTWARE,04/30/2013,04/30/2013,Concentración Nacional,Armenia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
SISTEMA NACIONAL DE ACREDITACIÓN Y CAPACITACIÓN DE ENTRENADORES FCB,05/02/2013,05/02/2013,Concentración Nacional,Circasia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAPACITACIÓN ADMINISTRACIÓN DEPORTIVA LIGAS Y CLUBES,05/24/2013,05/24/2013,Concentración Nacional,Circasia ,COLOMBIA, Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON
ARGENTINA INTERNACIONAL 2013,06/06/2013,06/09/2013,Concentracion Internacional,Buenos Aires,ARGENTINA,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAMPAMENTO DE TALENTOS,06/18/2013,06/20/2013,Concentración Nacional,Antioquia ,COLOMBIA,Antioquia,FEDERACIÓN COLOMBIANA DE BÁDMINTON
II Valida Nacional,06/21/2013,06/23/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE BÁDMINTON
XXII PAM AM JUNIOR TEAM EVENT,06/21/2013,06/23/2013,Concentracion Internacional,Puerto Vallarta,MEXICO,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
LIGA NACIONAL DE ESPAÑA,06/23/2013,07/14/2013,Concentracion Internacional,Madrid,ESPAÑA,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
XXII PAM AM JUNIOR INDIVIDUAL EVENT,06/24/2013,06/28/2013,Concentracion Internacional,Puerto Vallarta,MEXICO,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
“IV COLOMBIA INTERNACIONAL”,08/16/2013,08/18/2013,Concentración Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAMPAMENTO DE TALENTOS,08/16/2013,08/18/2013,Concentración Nacional,Chía,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
GUATEMALA INTERNACIONAL SERIES,09/05/2013,09/08/2013,Concentracion Internacional,Guatemala ,GUATEMALA,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
I JUEGOS SURAMERICANOS DE LA JUVENTUD,09/14/2013,09/30/2013,Juegos Suramericanos,Lima,PERU,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
III Valida Liga Nacional,09/21/2013,09/23/2013,Campeonato Nacional,Tunja ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE BÁDMINTON
XXVIII BRAZIL INTERNACIONAL 2013,10/02/2013,10/06/2013,Concentracion Internacional,Sao Paulo,BRASIL,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAMPAMENTO DE TALENTOS,10/09/2013,10/11/2013,Concentración Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
CAMPAMENTO DE TALENTOS,10/15/2013,10/17/2013,Concentración Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON
IV Valida Liga Nacional,10/18/2013,10/20/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON
Campeonato Nacional Junior,11/08/2013,11/10/2013,Campeonato Nacional,Cartago ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
XVII JUEGOS DEPORTIVOS BOLIVARIANOS,11/16/2013,11/30/2013,Juegos Bolivarianos,Trujillo,PERU,,FEDERACIÓN COLOMBIANA DE BÁDMINTON
Copa Sir Arthur Smithyes,12/12/2013,12/14/2013,Campeonato Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
SISTEMA NACIONAL DE ACREDITACIÓN Y CAPACITACIÓN DE ENTRENADORES FCB,12/12/2013,12/12/2013,Concentración Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON
COPA INVITACIONAL FCB,02/01/2013,11/30/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SSUB-20 FEMENINO,05/17/2013,05/24/2013,Campeonato Nacional,Cartago ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SUB-20 MASCULINO,05/24/2013,06/01/2013,Campeonato Nacional,Cartago ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SUB-23 FEMENINO,06/01/2013,06/08/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO MAYORES FEMENINO,06/03/2013,06/10/2013,Juegos Suramericanos,Pendiente,CHILE,,FEDERACIÓN COLOMBIANA DE BALONCESTO
CLINICA DE ENTRENADORES II NIVEL,06/06/2013,06/09/2013,Evento Académico,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SUB-17 MASCULINO,06/21/2013,06/28/2013,Campeonato Nacional,Riohacha ,COLOMBIA, La Guajira,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES MAORES FEMENINO,06/28/2013,07/06/2013,Juegos Nacionales,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE BALONCESTO
CLINICA DE ARBITROS FIBA AMERICAS,07/12/2013,07/15/2013,Evento Académico,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO DE CLUBES MAYORES FEMENINO,07/21/2013,07/27/2013,Juegos Suramericanos,Mendoza,ARGENTINA,,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SUB-23 MASCULINO,07/26/2013,08/03/2013,Campeonato Nacional,San Andrés,COLOMBIA,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO SUB-17 MASCULINO,08/05/2013,08/10/2013,Juegos Suramericanos,Sin Definir,URUGUAY,,FEDERACIÓN COLOMBIANA DE BALONCESTO
PREMUNDIAL MAYORES MASCULINO,08/30/2013,09/11/2013,Clasificatorio al Mundial,Caracas,VENEZUELA,,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS CLUBES SUB-17 FEMENINO,08/30/2013,09/07/2013,Campeonato Nacional,Pasto ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO SUB-17 FEMENINO,09/09/2013,09/15/2013,Juegos Suramericanos,Sin Definir,NO DEFINIDO,,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS SUB-15 MASCULINO,09/13/2013,09/21/2013,Campeonato Nacional,Santa Marta ,COLOMBIA, Magdalena,FEDERACIÓN COLOMBIANA DE BALONCESTO
PREMUNDIAL MAYORS FEMENINO,09/23/2013,09/29/2013,Clasificatorio al Mundial,Sin Definir,NO DEFINIDO,,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS SUB-15 FEMENINO,10/05/2013,10/13/2013,Campeonato Nacional,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE BALONCESTO
MINI-BALONCESTO AMBAS RMAS,10/11/2013,10/14/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO
LIGA SURAMERICANA MAYORES DE CLUBES,10/12/2013,10/19/2013,Juegos Suramericanos,Sin Definir,NO DEFINIDO,,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO SUB-15 MASCULINO,10/14/2013,10/20/2013,Juegos Suramericanos,Sin definir,ECUADOR,,FEDERACIÓN COLOMBIANA DE BALONCESTO
JUEGOS BOLIVARIANOS AMBAS RAMAS,11/04/2013,11/12/2013,Juegos Bolivarianos,Cúcuta,COLOMBIA,Norte de Santander,FEDERACIÓN COLOMBIANA DE BALONCESTO
PASARELLA AMBAS RAMA,11/07/2013,11/11/2013,Campeonato Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO
SURAMERICANO SUB-15 FEMENINO,11/18/2013,11/24/2013,Juegos Suramericanos,Sin Definir,NO DEFINIDO,,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS INFANTIL MASCULINO,11/29/2013,12/07/2013,Campeonato Nacional,Neiva ,COLOMBIA, Huila,FEDERACIÓN COLOMBIANA DE BALONCESTO
INTERLIGAS INFANTIL FEMENINO,11/29/2013,12/07/2013,Juegos Paralimpicos de Verano,Cúcuta,COLOMBIA,Norte de Santander,FEDERACIÓN COLOMBIANA DE BALONCESTO
EVENTO INVITACIONAL,03/20/2013,03/27/2013,Open Internacional,Bocachica,REPÚBLICA DOMINICANA,,FEDERACION COLOMBIANA DE BEISBOL
MUNDIAL DE CRIOLLITOS,03/22/2013,03/29/2013,Open Internacional,Caracas,VENEZUELA,,FEDERACION COLOMBIANA DE BEISBOL
"SEMINARIO PARA ARBITROS, ANOTADORES Y COMPLILADORES",04/01/2013,04/06/2013,Evento Académico,Cartagena ,COLOMBIA, Bolívar,FEDERACION COLOMBIANA DE BEISBOL
"SEMINARIO PARA ARBITROS, DIRIGENTES",04/15/2013,04/20/2013,Evento Académico,Acandi ,COLOMBIA, Chocó,FEDERACION COLOMBIANA DE BEISBOL
"SEMINIARIO DE TECNICOS, ARBITROS DE BEISBOL",05/13/2013,05/18/2013,Evento Académico,Curazao,CURAZAO,,FEDERACION COLOMBIANA DE BEISBOL
CAMPEONATO NACIONAL SUB-18,05/30/2013,06/08/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACION COLOMBIANA DE BEISBOL
CAMPEONATO NACIONAL SUB-15,06/14/2013,06/22/2013,Campeonato Nacional,Monteria ,COLOMBIA, Córdoba,FEDERACION COLOMBIANA DE BEISBOL
ESTADIO DE SAN JOSE,06/14/2013,06/21/2013,Open Internacional,San José,COSTA RICA,,FEDERACION COLOMBIANA DE BEISBOL
TORNEO NACIONAL CATEGORIA INFANTIL AA,06/29/2013,07/06/2013,Campeonato Nacional,Sincelejo ,COLOMBIA, Sucre,FEDERACION COLOMBIANA DE BEISBOL
CAMPEONATO NACIONAL CATEGORIA INFANTIL A,07/05/2013,07/13/2013,Campeonato Nacional,Monteria ,COLOMBIA, Córdoba,FEDERACION COLOMBIANA DE BEISBOL
ESTADIO DE DBRASIL,07/11/2013,07/19/2013,Open Internacional,Sao Paulo,BRASIL,,FEDERACION COLOMBIANA DE BEISBOL
MUNDIAL SUB-12,07/20/2013,07/28/2013,Open Internacional,China Tapei,CHINA TAPEI,,FEDERACION COLOMBIANA DE BEISBOL
TORNEO INTERNACIONAL DE DTALENTOS,07/20/2013,07/27/2013,Open Internacional,Punta Cana,REPÚBLICA DOMINICANA,,FEDERACION COLOMBIANA DE BEISBOL
TORNEO PANAMERICANO SUB- 15,07/26/2013,08/04/2013,Open Internacional,Barranquilla ,COLOMBIA,Atlántico,FEDERACION COLOMBIANA DE BEISBOL
MUNDIAL SUB-18,08/30/2013,09/08/2013,Open Internacional,China Tapei,CHINA TAPEI,,FEDERACION COLOMBIANA DE BEISBOL
CAMPEONATO NACIONAL SUB-21,10/25/2013,11/08/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACION COLOMBIANA DE BEISBOL
TORNEO PANAMERICANO SUB-21,11/15/2013,11/23/2013,Open Internacional,Panamá,PANAMA,,FEDERACION COLOMBIANA DE BEISBOL
JUEGOS BOLIVARIANOS,11/16/2013,11/30/2013,Juegos Suramericanos,Trujillo,PERU,,FEDERACION COLOMBIANA DE BEISBOL
TORNEO NACIONAL PREPARATORIO,11/20/2013,11/29/2013,Campeonato Nacional,Cartagena ,COLOMBIA, Bolívar,FEDERACION COLOMBIANA DE BEISBOL
XV Torneo Internacional de Billar a Tres Bandas Individual Feria de Manizales,01/02/2013,01/06/2013,Grand Prix Internacional,Manizales ,COLOMBIA,Caldas,FEDERACIÓN COLOMBIANA DE BILLAR
Copa Mundo de Billar a Tres Bandas Individual,02/06/2013,02/10/2013,Copa Mundo,Antalya,TURQUIA,,FEDERACIÓN COLOMBIANA DE BILLAR
Campeonato Mundial de Billar a Tres Bandas por Equipos,02/21/2013,02/24/2013,Campeonato Mundial,Viersen,ALEMANIA,,FEDERACIÓN COLOMBIANA DE BILLAR
12 Campeonato Nacional Sub-20 de Billar a Tres Bandas Individual,03/20/2013,03/24/2013,Campeonato Nacional,La Mesa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR
55º Campeonato Nacional de Billar a Tres Bandas Individual Mayores,03/20/2013,03/24/2013,Campeonato Nacional,La Mesa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR
V Campeonato Nacional de Billar Pool Bola 9 Individual Femenino,05/16/2013,05/19/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE BILLAR
